geoid,geographic_area_name,estimated_population,Margin of Error!!Total
250010101001,"Block Group 1, Census Tract 101, Barnstable County, Massachusetts",825,184
250010101002,"Block Group 2, Census Tract 101, Barnstable County, Massachusetts",446,129
250010101003,"Block Group 3, Census Tract 101, Barnstable County, Massachusetts",708,161
250010101004,"Block Group 4, Census Tract 101, Barnstable County, Massachusetts",433,173
250010101005,"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",561,145
250010102061,"Block Group 1, Census Tract 102.06, Barnstable County, Massachusetts",694,308
250010102062,"Block Group 2, Census Tract 102.06, Barnstable County, Massachusetts",1527,330
250010102063,"Block Group 3, Census Tract 102.06, Barnstable County, Massachusetts",1396,374
250010102081,"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",297,146
250010102082,"Block Group 2, Census Tract 102.08, Barnstable County, Massachusetts",415,207
250010102083,"Block Group 3, Census Tract 102.08, Barnstable County, Massachusetts",410,175
250010103041,"Block Group 1, Census Tract 103.04, Barnstable County, Massachusetts",1143,200
250010103042,"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",719,186
250010103043,"Block Group 3, Census Tract 103.04, Barnstable County, Massachusetts",532,179
250010103061,"Block Group 1, Census Tract 103.06, Barnstable County, Massachusetts",920,275
250010103062,"Block Group 2, Census Tract 103.06, Barnstable County, Massachusetts",1080,279
250010103063,"Block Group 3, Census Tract 103.06, Barnstable County, Massachusetts",507,204
250010104001,"Block Group 1, Census Tract 104, Barnstable County, Massachusetts",730,218
250010104002,"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",913,254
250010104003,"Block Group 3, Census Tract 104, Barnstable County, Massachusetts",751,328
250010104004,"Block Group 4, Census Tract 104, Barnstable County, Massachusetts",672,202
250010105001,"Block Group 1, Census Tract 105, Barnstable County, Massachusetts",1425,250
250010105002,"Block Group 2, Census Tract 105, Barnstable County, Massachusetts",632,286
250010105003,"Block Group 3, Census Tract 105, Barnstable County, Massachusetts",685,183
250010106001,"Block Group 1, Census Tract 106, Barnstable County, Massachusetts",481,108
250010106002,"Block Group 2, Census Tract 106, Barnstable County, Massachusetts",967,214
250010106003,"Block Group 3, Census Tract 106, Barnstable County, Massachusetts",1345,242
250010106004,"Block Group 4, Census Tract 106, Barnstable County, Massachusetts",315,99
250010107001,"Block Group 1, Census Tract 107, Barnstable County, Massachusetts",830,217
250010107002,"Block Group 2, Census Tract 107, Barnstable County, Massachusetts",900,202
250010107003,"Block Group 3, Census Tract 107, Barnstable County, Massachusetts",633,184
250010107004,"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",548,190
250010108001,"Block Group 1, Census Tract 108, Barnstable County, Massachusetts",1135,291
250010108002,"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",285,230
250010108003,"Block Group 3, Census Tract 108, Barnstable County, Massachusetts",635,224
250010108004,"Block Group 4, Census Tract 108, Barnstable County, Massachusetts",717,276
250010108005,"Block Group 5, Census Tract 108, Barnstable County, Massachusetts",1618,275
250010109001,"Block Group 1, Census Tract 109, Barnstable County, Massachusetts",1637,318
250010109002,"Block Group 2, Census Tract 109, Barnstable County, Massachusetts",1572,475
250010109003,"Block Group 3, Census Tract 109, Barnstable County, Massachusetts",1598,442
250010109004,"Block Group 4, Census Tract 109, Barnstable County, Massachusetts",640,229
250010110021,"Block Group 1, Census Tract 110.02, Barnstable County, Massachusetts",543,178
250010110022,"Block Group 2, Census Tract 110.02, Barnstable County, Massachusetts",692,200
250010110023,"Block Group 3, Census Tract 110.02, Barnstable County, Massachusetts",751,197
250010110024,"Block Group 4, Census Tract 110.02, Barnstable County, Massachusetts",2073,300
250010111001,"Block Group 1, Census Tract 111, Barnstable County, Massachusetts",922,367
250010111002,"Block Group 2, Census Tract 111, Barnstable County, Massachusetts",1253,516
250010111003,"Block Group 3, Census Tract 111, Barnstable County, Massachusetts",1851,586
250010111004,"Block Group 4, Census Tract 111, Barnstable County, Massachusetts",741,289
250010112001,"Block Group 1, Census Tract 112, Barnstable County, Massachusetts",1257,269
250010112002,"Block Group 2, Census Tract 112, Barnstable County, Massachusetts",932,209
250010112003,"Block Group 3, Census Tract 112, Barnstable County, Massachusetts",450,137
250010112004,"Block Group 4, Census Tract 112, Barnstable County, Massachusetts",682,197
250010113001,"Block Group 1, Census Tract 113, Barnstable County, Massachusetts",666,202
250010113002,"Block Group 2, Census Tract 113, Barnstable County, Massachusetts",1262,253
250010113003,"Block Group 3, Census Tract 113, Barnstable County, Massachusetts",623,167
250010114001,"Block Group 1, Census Tract 114, Barnstable County, Massachusetts",682,162
250010114002,"Block Group 2, Census Tract 114, Barnstable County, Massachusetts",1276,308
250010114003,"Block Group 3, Census Tract 114, Barnstable County, Massachusetts",155,98
250010114004,"Block Group 4, Census Tract 114, Barnstable County, Massachusetts",857,273
250010115001,"Block Group 1, Census Tract 115, Barnstable County, Massachusetts",432,219
250010115002,"Block Group 2, Census Tract 115, Barnstable County, Massachusetts",847,226
250010115003,"Block Group 3, Census Tract 115, Barnstable County, Massachusetts",524,168
250010115004,"Block Group 4, Census Tract 115, Barnstable County, Massachusetts",959,229
